Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
22/05/2011,A Golden Crown,0.163,0.0,0.837,0.5994,6.0,1.0,robert baratheon,See what she does to me? My loving wife. I should not have hit her. That was not… That was not kingly.
07/04/2013,"Dark Wings, Dark Words",0.0,0.0,1.0,0.0,2.0,3.0,servant,"The cheese will be served after the cakes, my lady."
20/05/2012,The Prince of Winterfell,0.219,0.17,0.611,0.0274,8.0,2.0,jorah mormont,"You know I would die for you. I will never abandon you. I'm sworn to protect you, to serve."
19/05/2013,Second Sons,1.0,0.0,0.0,0.4019,8.0,3.0,daario,Yes.
29/05/2016,Blood of My Blood,0.0,0.0,1.0,0.0,6.0,6.0,bran stark,Meera. They found us.
27/08/2017,The Dragon and the Wolf,0.286,0.0,0.714,0.4939,7.0,7.0,bronn,"I still enjoy it when they call me ""my lord."""
14/04/2013,Walk of Punishment,0.272,0.293,0.435,-0.0516,3.0,3.0,bronn,"Tonight, then. Looks like dull reading."
06/04/2014,Two Swords,0.0,1.0,0.0,-0.4019,1.0,4.0,olenna tyrell,Nonsense.
10/05/2015,Kill the Boy,0.346,0.346,0.307,-0.25,5.0,5.0,tormund,You sure seemed like my enemy when you were killing my friends.
13/05/2012,A Man Without Honor,0.0,0.0,1.0,0.0,7.0,2.0,daenerys targaryen,You went to find me a ship.
31/05/2015,Hardhome,0.108,0.0,0.892,0.4404,8.0,5.0,sansa stark,"Good. If it weren't for you I'd still have a family. If I could do to you what Ramsay did to you right here, right now, I would."
14/04/2013,Walk of Punishment,0.307,0.0,0.693,0.7964,3.0,3.0,brienne,Maybe you were as good as people said once. Or maybe people just love to overpraise a famous name.
06/04/2014,Two Swords,0.165,0.127,0.708,0.5574,1.0,4.0,jaime lannister,"So this is the famous ""Book of Brothers""? All the great deeds of all the great Kingsguard. Ser Arthur Dayne. The Sword of the Morning. Led the attack on the Kingswood Brotherhood. Defeated the Smiling Knight in single combat. Ser Duncan the Tall. Four pages for Ser Duncan. He must have been quite a man."
19/05/2013,Second Sons,0.0,0.743,0.257,-0.8619,8.0,3.0,gendry baratheon,"No. No, no, no, no! Not there. Not there!"
19/04/2015,The House of Black and White,0.0,0.0,1.0,0.0,2.0,5.0,brienne,Get your horse.
03/06/2012,Valar Morghulis,0.0,0.0,1.0,0.0,10.0,2.0,luwin,What is this? What are you doing?
26/04/2015,High Sparrow,0.0,0.63,0.37,-0.5267,3.0,5.0,cersei lannister,You were assaulted?
03/06/2012,Valar Morghulis,0.0,0.0,1.0,0.0,10.0,2.0,melisandre,The Lord of Light only allows me glimpses.
01/04/2012,The North Remembers,0.0,0.0,1.0,0.0,1.0,2.0,robb stark,Give Lord Renly my regards.
31/03/2013,Valar Dohaeris,0.025,0.157,0.818,-0.9353,1.0,3.0,tywin lannister,"Why? You ask that? You, who killed your mother to come into the world? You are an ill-made, spiteful little creature full of envy, lust, and low cunning. Men's laws give you the right to bear my name and display my colors since I cannot prove that you are not mine. And to teach me humility, the gods have condemned me to watch you waddle about wearing that proud lion that was my father's sigil and his father's before him. But neither gods nor men will ever compel me to let you turn Casterly Rock into your whorehouse. Go, now. Speak no more of your rights to Casterly Rock. Go."
01/04/2012,The North Remembers,0.289,0.0,0.711,0.431,1.0,2.0,rakharo,"I will not fail you, blood of my blood."
16/07/2017,Dragonstone,0.04,0.155,0.805,-0.705,1.0,7.0,sam,"Archmaester, with respect, I've seen them--the Army of the Dead. The white walkers. W was sent here to learn how to defeat them, but everyone in the Citadel, those who will even talk to me, they all doubt the walkers ever existed in the first place."
10/05/2015,Kill the Boy,0.0,0.0,1.0,0.0,5.0,5.0,tormund,They won't kneel for you and neither will I.
07/04/2013,"Dark Wings, Dark Words",0.0,0.136,0.864,-0.296,2.0,3.0,jaime lannister,"Did you ever tell him? No, of course not. You weren't Renly's type, I'm afraid."
04/05/2014,First of His Name,0.0,1.0,0.0,-0.7783,5.0,4.0,podrick,"No, no, no, no."
06/04/2014,Two Swords,0.0,0.0,1.0,0.0,1.0,4.0,dornish lord,Will he?
30/07/2017,The Queen’s Justice,0.504,0.0,0.496,0.7264,3.0,7.0,olenna tyrell,Yes. You must be very wise by now.
31/05/2015,Hardhome,0.0,0.274,0.726,-0.5256,8.0,5.0,tyrion lannister,To see if you were the right kind of terrible.
03/05/2015,Sons of the Harpy,0.0,0.0,1.0,0.0,4.0,5.0,tommen lannister,My Queen?
26/06/2016,The Winds of Winter,0.236,0.111,0.653,0.3612,10.0,6.0,loras,There'll be no need for a trial. I confess before the Seven and freely admit to my crimes.
30/07/2017,The Queen’s Justice,0.0,0.0,1.0,0.0,3.0,7.0,jon snow,The dwarf of Casterly Rock.
30/07/2017,The Queen’s Justice,0.063,0.091,0.846,-0.0772,3.0,7.0,davos,"All those things you don't believe in, he faced those things. He fought those things for the good of his people. He risked his life for his people. He took a knife in the heart for his people. He gave his own --"
19/06/2011,Fire and Blood,0.219,0.0,0.781,0.4939,10.0,1.0,jeor mormont,Good. Because l want you and your wolf with us when we ride out beyond the Wall tomorrow.
15/04/2012,What Is Dead May Never Die,0.676,0.324,0.0,0.34,3.0,2.0,pycelle,"No, please, please."
20/04/2014,Breaker of Chains,0.0,0.323,0.677,-0.6486,3.0,4.0,podrick,You're to stand trial in a fortnight for murdering the king.
06/08/2017,The Spoils Of War,0.061,0.0,0.939,0.0772,4.0,7.0,drogon,loops around and is making a pass on JAIME and the archers. DAENERYS and DROGON are diving at the group of men.
29/05/2011,You Win or You Die,0.0,0.0,1.0,0.0,7.0,1.0,lord varys,"I wonder, Ser Barristan, who gave the king this wine?"
04/05/2014,First of His Name,0.252,0.0,0.748,0.4019,5.0,4.0,jojen,"If you let my sister go, I can help you."
15/04/2012,What Is Dead May Never Die,0.0,0.0,1.0,0.0,3.0,2.0,tyrion lannister,I don't intend for you to stay here. I might be able to bring you into the castle kitchens.
14/04/2013,Walk of Punishment,0.205,0.0,0.795,0.7713,3.0,3.0,petyr baelish,"For which I am extremely grateful to you, my lord. Lady Arryn and I have known each other since we were children. She has always been positively predisposed toward me."
01/06/2014,The Mountain and the Viper,0.108,0.114,0.778,-0.1027,8.0,4.0,theon greyjoy,You are fading from sickness. You are badly outnumbered and you're hundreds of miles from the sea. Lord Bolton implores you to protect your men and abandon this fortress you can no longer hold. Do this and he will be just and fair with you as he is being with me. The Boltons will give you safe passage to the stony shore.
28/04/2013,Kissed by Fire,0.0,0.0,1.0,0.0,5.0,3.0,cersei lannister,You should be thanking the gods for this. This is more than you deserve.
15/05/2011,The Wolf and the Lion,0.241,0.184,0.575,0.128,5.0,1.0,petyr baelish,No honor but quite a bit of gold.
17/04/2011,Winter is Coming,0.0,0.0,1.0,0.0,1.0,1.0,catelyn stark,This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,davos,Come and have a look.
19/06/2016,Battle of the Bastards,0.0,0.0,1.0,0.0,9.0,6.0,theon greyjoy,There are and Euron is building more. He's going to offer them to you.
24/04/2011,The Kingsroad,0.0,0.0,1.0,0.0,2.0,1.0,mycah,"She asked me to, my Lord. She asked me to."
16/07/2017,Dragonstone,0.0,0.499,0.501,-0.6113,1.0,7.0,sansa stark,Would that be so terrible?
05/05/2013,The Climb,0.0,0.302,0.698,-0.0772,6.0,3.0,ramsay bolton,Sorry. Were you sleeping?
19/05/2019,The Iron Throne,0.096,0.0,0.904,0.5106,6.0,8.0,tyrion lannister,She liberated the people of Slaver's Bay. She liberated the people of King's Landing. And she'll go on liberating until the people of the world are free and she rules them all.
